latest-trik-image-langs-trikboard.sdimg; 0; 256KiB; 3; 0; 2; fast; 128; hc3; 4; 3; 1; 191,3; 31; 0:36
latest-trik-image-langs-trikboard.sdimg; 0e; 256KiB; 3; 0; 2; normal; 273; bt4; 512; 4; 1; 172,2; 6,4; 2:54

latest-trik-image-langs-trikboard.sdimg; 1; 1; 3; 0; 2; fast; 128; hc4; 8; 9; 2; 182,7; 26; 0:42

latest-trik-image-langs-trikboard.sdimg; 1e; 1; 3; 0; 2; normal; 273; bt4; 512; 13; 2; 165,9; 5,7; 3:16

latest-trik-image-langs-trikboard.sdimg; 2; 2; 3; 0; 2; fast; 273; hc4; 24; 17; 3; 178,4; 18; 1:01

latest-trik-image-langs-trikboard.sdimg; 2e; 2; 3; 0; 2; normal; 273; bt4; 512; 25; 3; 162,6; 5,4; 3:29

latest-trik-image-langs-trikboard.sdimg; 3; 4; 3; 0; 2; fast; 273; hc4; 48; 32; 5; 173,5; 13; 1:27

latest-trik-image-langs-trikboard.sdimg; 3e; 4; 3; 0; 2; normal; 192; bt4; 0; 48; 5; 157,9; 5,3; 3:30

latest-trik-image-langs-trikboard.sdimg; 4; 4; 3; 0; 2; normal; 16; bt4; 0; 48; 5; 160,7; 7,7; 2:25

latest-trik-image-langs-trikboard.sdimg; 4e; 4; 3; 0; 2; normal; 273; bt4; 512; 48; 5; 158,0; 5,0; 3:44

latest-trik-image-langs-trikboard.sdimg; 5; 8; 3; 0; 2; normal; 32; bt4; 0; 94; 9; 152,7; 6,3; 2:57

latest-trik-image-langs-trikboard.sdimg; 5e; 8; 3; 0; 2; normal; 192; bt4; 0; 94; 9; 152,0; 5,1; 3:41

latest-trik-image-langs-trikboard.sdimg; 6; 8; 3; 0; 2; normal; 64; bt4; 0; 94; 9; 152,0; 5,7; 3:17

latest-trik-image-langs-trikboard.sdimg; 6e; 8; 3; 0; 2; normal; 273; bt4; 512; 94; 9; 152,1; 4,7; 3:58

latest-trik-image-langs-trikboard.sdimg; 7; 16; 3; 0; 2; normal; 64; bt4; 0; 186; 17; 136,9; 5,5; 3:23

latest-trik-image-langs-trikboard.sdimg; 7e; 16; 3; 0; 2; normal; 273; bt4; 512; 186; 17; 137,1; 4,5; 4:07

latest-trik-image-langs-trikboard.sdimg; 8; 32; 3; 0; 2; normal; 64; bt4; 0; 370; 33; 131,3; 5,2; 3:35

latest-trik-image-langs-trikboard.sdimg; 8e; 32; 3; 0; 2; normal; 273; bt4; 512; 370; 33; 131,5; 4,2; 4:27

latest-trik-image-langs-trikboard.sdimg; 9; 64; 3; 0; 2; normal; 64; bt4; 0; 674; 65; 128,8; 4,8; 3:52

latest-trik-image-langs-trikboard.sdimg; 9e; 64; 3; 0; 2; normal; 273; bt4; 512; 674; 65; 128,9; 3,9; 4:47

raspbian-jessie.img; 0; 256KiB; 3; 0; 2; fast; 128; hc3; 4; 3; 1; 1 231,0; 19; 3:23

raspbian-jessie.img; 0e; 256KiB; 3; 0; 2; normal; 273; bt4; 512; 4; 1; 1 133,1; 4,5; 14:43

raspbian-jessie.img; 1; 1; 3; 0; 2; fast; 128; hc4; 8; 9; 2; 1 184,1; 16; 4:13

raspbian-jessie.img; 1e; 1; 3; 0; 2; normal; 273; bt4; 512; 13; 2; 1 097,7; 3,8; 17:05

raspbian-jessie.img; 2; 2; 3; 0; 2; fast; 273; hc4; 24; 17; 3; 1 161,2; 11; 5:55

raspbian-jessie.img; 2e; 2; 3; 0; 2; normal; 273; bt4; 512; 25; 3; 1 080,6; 3,4; 19:08

raspbian-jessie.img; 3; 4; 3; 0; 2; fast; 273; hc4; 48; 32; 5; 1 145,3; 7,6; 8:39

raspbian-jessie.img; 3e; 4; 3; 0; 2; normal; 192; bt4; 0; 48; 5; 1 065,8; 3,5; 18:44

raspbian-jessie.img; 4; 4; 3; 0; 2; normal; 16; bt4; 0; 48; 5; 1 083,5; 5,2; 12:34

raspbian-jessie.img; 4e; 4; 3; 0; 2; normal; 273; bt4; 512; 48; 5; 1 065,8; 3,1; 20:51

raspbian-jessie.img; 5; 8; 3; 0; 2; normal; 32; bt4; 0; 94; 9; 1 054,9; 4,3; 15:24

raspbian-jessie.img; 5e; 8; 3; 0; 2; normal; 192; bt4; 0; 94; 9; 1 049,3; 3,3; 20:10

raspbian-jessie.img; 6; 8; 3; 0; 2; normal; 64; bt4; 0; 94; 9; 1 050,4; 3,8; 17:26

raspbian-jessie.img; 6e; 8; 3; 0; 2; normal; 273; bt4; 512; 94; 9; 1 049,4; 2,9; 22:27

raspbian-jessie.img; 7; 16; 3; 0; 2; normal; 64; bt4; 0; 186; 17; 1 033,7; 3,5; 18:42

raspbian-jessie.img; 7e; 16; 3; 0; 2; normal; 273; bt4; 512; 186; 17; 1 032,6; 2,8; 23:27

